[Sat Oct 11 02:12:53.675 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:13:34.621 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:14:16.483 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:15:00.175 2008] 0.002 sec [all/1/rel 1 (0,20)] [*] funny
[Sat Oct 11 02:15:15.215 2008] 0.033 sec [scan/1/rel 4 (0,20)] [*] 
[Sat Oct 11 02:16:57.126 2008] 0.021 sec [all/1/rel 1 (0,20)] [*] funny
[Sat Oct 11 02:18:45.896 2008] 0.000 sec [scan/1/rel 4 (0,20)] [*] 
[Sat Oct 11 02:18:59.054 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] funny
[Sat Oct 11 02:25:53.099 2008] 0.000 sec [all/1/rel 1 (0,20)] [*] funny
[Sat Oct 11 02:30:30.905 2008] 0.044 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:36:33.817 2008] 0.030 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:36:41.765 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:36:52.374 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:37:00.898 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:39:25.148 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:39:31.086 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:42:40.283 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:42:45.745 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:46:27.328 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:47:13.978 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 02:50:10.457 2008] 0.000 sec [all/1/rel 0 (0,1)] [*] ian
[Sat Oct 11 02:50:17.334 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:50:24.244 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:55:57.678 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 02:56:09.856 2008] 0.001 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:01:49.692 2008] 0.015 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:01:54.106 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:02:57.719 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 03:05:57.017 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Sat Oct 11 03:06:13.221 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:06:18.875 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:06:23.346 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Sat Oct 11 03:06:46.383 2008] 0.000 sec [all/1/rel 2 (0,11185)] [*] superman
[Tue Oct 14 19:12:30.907 2008] 0.057 sec [all/1/rel 1 (0,20)] [*] fun
[Tue Oct 14 19:12:37.689 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:13:01.896 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:13:38.184 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:14:04.866 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:14:05.303 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:15:03.961 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:15:09.405 2008] 0.000 sec [all/1/rel 0 (0,20)] [*] fu
[Tue Oct 14 19:15:14.634 2008] 0.000 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:18:00.567 2008] 0.001 sec [all/1/rel 2 (0,20)] [*] superman
[Tue Oct 14 19:20:38.301 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:20:44.515 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:21:26.666 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:21:34.185 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:21:47.310 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:23:19.165 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:23:22.075 2008] 0.000 sec [all/1/rel 2 (1,1)] [*] superman
[Tue Oct 14 19:23:35.291 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:24:07.259 2008] 0.000 sec [all/1/rel 2 (0,2)] [*] superman
[Tue Oct 14 19:26:16.721 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:29:42.439 2008] 0.001 sec [all/1/rel 2 (0,1)] [*] superman
[Tue Oct 14 19:30:46.244 2008] 0.000 sec [all/1/rel 2 (0,1)] [*] superman
[Wed Oct 15 00:23:28.375 2008] 0.161 sec [all/1/ext 2 (0,1)] [*] superman
[Wed Oct 15 00:23:45.377 2008] 0.000 sec [all/1/ext 2 (1,1)] [*] superman
[Wed Oct 15 00:25:12.821 2008] 0.000 sec [all/1/ext 1 (0,1)] [*] fun
[Wed Oct 15 00:25:42.408 2008] 0.000 sec [all/1/ext 2 (0,1)] [*] fun
[Wed Oct 15 00:25:48.285 2008] 0.000 sec [all/1/ext 2 (1,1)] [*] fun
[Wed Oct 15 02:08:16.429 2008] 0.334 sec [all/1/ext 2 (0,1)] [*] fun
[Wed Oct 15 02:08:39.375 2008] 0.000 sec [all/1/ext 2 (0,1)] [*] fun
[Wed Oct 15 02:10:14.204 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] superman
[Wed Oct 15 23:37:31.704 2008] 0.452 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:42:09.448 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:43:50.143 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:44:04.910 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:53:33.176 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:53:38.482 2008] 0.112 sec [all/1/ext 2 (0,20)] [*] fun
[Wed Oct 15 23:53:49.352 2008] 0.016 sec [all/1/ext 0 (0,20)] [*] fun and superman
[Wed Oct 15 23:53:54.554 2008] 0.000 sec [all/1/ext 0 (0,20)] [*] fun & superman
[Wed Oct 15 23:54:00.375 2008] 0.000 sec [all/1/ext 2 (0,20)] [*] superman
[Wed Oct 15 23:57:12.948 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:59:20.026 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:59:28.878 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Wed Oct 15 23:59:33.352 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 00:00:10.314 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 00:02:25.215 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 00:02:28.867 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 00:02:36.779 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:14:57.773 2008] 0.096 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:17:51.939 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:33:56.645 2008] 0.001 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:51:24.343 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:51:44.113 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:52:17.907 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:53:10.089 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:54:14.471 2008] 0.001 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:55:31.264 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:55:53.460 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 01:56:07.510 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 18:42:40.495 2008] 0.108 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 18:59:43.587 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:01:11.669 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:01:52.324 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:02:41.123 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:03:38.748 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:03:47.392 2008] 0.001 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:12:22.483 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:13:10.557 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:13:55.991 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:15:03.958 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:15:21.048 2008] 0.000 sec [scan/1/ext 5 (2,2)] [*] 
[Thu Oct 16 19:16:20.678 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:16:30.565 2008] 0.001 sec [scan/1/ext 5 (4,2)] [*] 
[Thu Oct 16 19:16:44.346 2008] 0.001 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:17:20.514 2008] 0.000 sec [scan/1/ext 5 (0,1)] [*] 
[Thu Oct 16 19:17:28.593 2008] 0.000 sec [scan/1/ext 5 (0,1)] [*] 
[Thu Oct 16 19:17:37.558 2008] 0.000 sec [scan/1/ext 5 (1,1)] [*] 
[Thu Oct 16 19:17:44.257 2008] 0.000 sec [scan/1/ext 5 (2,1)] [*] 
[Thu Oct 16 19:17:50.575 2008] 0.000 sec [scan/1/ext 5 (3,1)] [*] 
[Thu Oct 16 19:18:06.798 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 19:18:36.477 2008] 0.000 sec [scan/1/ext 5 (0,10)] [*] 
[Thu Oct 16 19:22:10.652 2008] 0.000 sec [scan/1/ext 5 (0,10)] [*] 
[Thu Oct 16 19:25:01.757 2008] 0.000 sec [scan/1/ext 5 (0,1)] [*] 
[Thu Oct 16 19:25:15.321 2008] 0.001 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:26:45.485 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:27:07.856 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:31:19.272 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:35:30.224 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:36:39.560 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 19:37:41.571 2008] 0.046 sec [scan/1/rel 5 (0,2)] [*] 
[Thu Oct 16 19:42:44.274 2008] 0.000 sec [scan/1/rel 5 (0,2)] [*] 
[Thu Oct 16 19:42:56.864 2008] 0.000 sec [scan/1/rel 5 (4,2)] [*] 
[Thu Oct 16 19:43:03.857 2008] 0.000 sec [scan/1/rel 5 (2,2)] [*] 
[Thu Oct 16 23:20:20.613 2008] 0.267 sec [scan/1/rel 5 (0,20)] [*] 
[Thu Oct 16 23:25:15.919 2008] 0.131 sec [all/1/ext 2 (0,3)] [*] fun
[Thu Oct 16 23:26:15.958 2008] 0.000 sec [scan/1/ext 5 (0,2)] [*] 
[Thu Oct 16 23:31:34.757 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 23:52:52.647 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Thu Oct 16 23:53:59.050 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:00:20.558 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:00:22.458 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:01:39.089 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:11:06.494 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:12:25.148 2008] 0.000 sec [scan/1/ext 5 (0,20)] [*] 
[Fri Oct 17 00:13:07.611 2008] 0.000 sec [scan/1/ext 5 (0,1)] [*] 
[Fri Oct 17 00:13:15.037 2008] 0.000 sec [scan/1/ext 5 (1,1)] [*] 
[Fri Oct 17 00:13:23.139 2008] 0.032 sec [all/1/ext 2 (0,1)] [*] fun
[Fri Oct 17 00:13:28.731 2008] 0.001 sec [all/1/ext 2 (1,1)] [*] fun
[Fri Oct 17 00:15:14.863 2008] 0.000 sec [all/1/ext 2 (1,1)] [*] fun
[Fri Oct 17 00:15:34.026 2008] 0.001 sec [all/1/ext 2 (1,1)] [*] fun
